,Dataset,Classifiers,FPR,FNR,AUC,F1 Score,KS Result,KS p-value,PSI
0,Australian,Logistic Regression,0.14782608695652175,0.08695652173913043,0.9488657844990548,0.8704663212435233,0.7739130434782608,1.1375264667977703e-32,0.04607343838634735
1,Australian,Balanced Random Forest,0.1826086956521739,0.07608695652173914,0.944281663516068,0.8585858585858587,0.7521739130434782,2.092580441980706e-30,0.3015432794346793
2,Australian,Balanced Bagging,0.14782608695652175,0.07608695652173914,0.9415879017013233,0.8762886597938144,0.782608695652174,1.2600885812107766e-33,0.5700427876943107
3,Australian,Easy Ensemble,0.19130434782608696,0.05434782608695652,0.9260869565217391,0.8656716417910448,0.7543478260869565,1.263727934477513e-30,0.04308567882157088
4,Australian,RUS Boost,0.14782608695652175,0.07608695652173914,0.9473534971644614,0.8762886597938144,0.7913043478260869,1.2983828060719075e-34,0.09280206748077961
5,German,Logistic Regression,0.24285714285714285,0.25555555555555554,0.8280423280423281,0.6442307692307693,0.5587301587301587,0.0,0.06886387395245978
6,German,Balanced Random Forest,0.3142857142857143,0.26666666666666666,0.8112169312169312,0.5945945945945945,0.5063492063492063,2.886579864025407e-15,1.5918357247938382
7,German,Balanced Bagging,0.3476190476190476,0.2222222222222222,0.7973544973544974,0.6008583690987125,0.473015873015873,2.7489122089718876e-13,0.9189706240992576
8,German,Easy Ensemble,0.2857142857142857,0.2,0.8325396825396826,0.6486486486486486,0.5682539682539682,0.0,0.039730399220564656
9,German,RUS Boost,0.2761904761904762,0.34444444444444444,0.7531216931216931,0.570048309178744,0.3952380952380952,2.661113995827691e-09,0.020967199363512032
10,Taiwanese,Logistic Regression,0.48865744043372805,0.28528377699648416,0.650144153470185,0.41614271092264954,0.23584035134851017,2.2738013978190342e-76,0.00044019516859059417
11,Taiwanese,Balanced Random Forest,0.2095876729918676,0.36966348568558516,0.7796526085174698,0.5323435843054082,0.42377522936535855,2.061123449692559e-08,0.19090094609563718
12,Taiwanese,Balanced Bagging,0.16692823512626623,0.4274234053239578,0.7750195827005515,0.530109276912346,0.4153898707688665,1.9866034373094976e-09,0.21202619928084065
13,Taiwanese,Easy Ensemble,0.1907547439006991,0.38623807132094423,0.781739220413963,0.5371428571428571,0.4368074081977832,6.478846127366822e-07,0.0007220480274572656
14,Taiwanese,RUS Boost,0.20302468255100584,0.3746860873932697,0.7747049982877006,0.5344494526722473,0.4292594604096233,7.70239118041971e-08,0.0005321215083896112
15,Home Credit Default Risk,Logistic Regression,0.38231964719477396,0.465359828141783,0.6058100796958892,0.1816067315805076,0.16198354705715778,1.9438478167904895e-157,7.798350495152017e-05
16,Home Credit Default Risk,Balanced Random Forest,0.3035634271160059,0.3464017185821697,0.7379147047955005,0.25580662112454017,0.35154508389185624,0.0,0.14526441234658644
17,Home Credit Default Risk,Balanced Bagging,0.18735702662547463,0.48993018259935556,0.7352529012764408,0.27999705188679247,0.35061582265993435,0.0,0.07401739449022128
18,Home Credit Default Risk,Easy Ensemble,0.3116642690375681,0.32867883995703545,0.7451171189527077,0.2572082615293603,0.3608397321967648,0.0,8.999951057297789e-05
19,Home Credit Default Risk,RUS Boost,0.30705374619720305,0.3335123523093448,0.7455375610798873,0.2581920316238427,0.3631068798381891,0.0,0.0004373226024729322
20,Lending Club,Logistic Regression,1.1342498071775327e-05,0.002777777777777778,0.9998561865765315,0.9972222222222222,0.9972108797241505,0.0,5.783560961706018e-09
21,Lending Club,Balanced Random Forest,0.005750646522390091,0.002777777777777778,0.9999004065655419,0.5856443719412725,0.9926965654915839,0.0,0.0018753441321800923
22,Lending Club,Balanced Bagging,0.003538859398393902,0.002777777777777778,0.9999395539373591,0.6964112512124152,0.9941937752370582,0.0,6.638917712937381e-05
23,Lending Club,Easy Ensemble,0.003833764348260061,0.002777777777777778,0.9999391285936815,0.6792809839167455,0.9939782677736945,0.0,0.00015085328136407988
24,Lending Club,RUS Boost,0.002733542035297854,0.008333333333333333,0.9991867113813147,0.7453027139874738,0.988978494623656,0.0,9.341259082092116e-05
25,Give Me Some Credit,Logistic Regression,0.11645075252429034,0.42819148936170215,0.8108844519650146,0.3576627157413183,0.49038412331832204,0.0,0.00015907207602845907
26,Give Me Some Credit,Balanced Random Forest,0.2131120213373976,0.22007978723404256,0.8591556383080059,0.3280430678878557,0.5709897756614228,0.0,0.006183586546423938
27,Give Me Some Credit,Balanced Bagging,0.15079062678605448,0.3045212765957447,0.8536497849261055,0.36599020293911827,0.5626987460630799,0.0,0.009807290133521874
28,Give Me Some Credit,Easy Ensemble,0.19139359878072013,0.24867021276595744,0.8594596000808664,0.33972190905674554,0.5610375887200398,0.0,0.0002407900866110941
29,Give Me Some Credit,RUS Boost,0.18953610211468852,0.26063829787234044,0.8576371001074673,0.3371996057918278,0.5574262752175694,0.0,0.00023097247351658095
